Loan Amount,Loan Term,Employment Length,Home Ownership,Annual Income,Loan Purpose,Address State,Debt To Income Ratio,No. Delinquencies In Last 2 Years,Earliest Credit Line Opened,FICO Credit Score,No. Inquiries In Last 6 Months,Months Since Last Delinquency,No. Of Credit Lines,No. Adverse Public Records,Total Credit Balance,Use Of Credit Line,Total Number Of Credit Lines,Loan Application Description,No. Of Public Record Bankruptcies,Class
7000,36 Months,1,RENT,30000,Car,CT,4.24,None,37220.47569,750,0,0,3,None,2169,86.8,14,404,None,Creditworthy
20000,60 Months,7,MORTGAGE,104000,Small Business,MN,6.23,None,35900.52361,800,0,0,12,None,31184,52.9,24,532,None,Creditworthy
10400,60 Months,5,MORTGAGE,85000,Home Improvement,FL,3.16,None,35750.48681,780,0,0,16,None,2984,5,46,1000,None,Creditworthy
25000,60 Months,3,RENT,150000,Debt Consolidation,NY,10.94,None,38120.06667,680,1,0,6,None,49297,88.5,10,0,None,Creditworthy
5000,36 Months,2,RENT,48048,Debt Consolidation,CA,17.33,None,36530.5375,695,0,71,7,None,20800,86.3,18,1000,None,Creditworthy
18000,36 Months,10,RENT,66000,Credit Card,CA,10.67,None,35060.09375,765,2,0,22,None,21539,27.1,35,0,None,Creditworthy
6000,60 Months,10,MORTGAGE,48000,Debt Consolidation,CT,19.85,None,35870.09514,665,0,27,13,None,19748,80.2,29,0,None,Uncreditworthy
1700,36 Months,9,MORTGAGE,84000,Other,IL,3.07,None,34250.14167,765,0,0,7,None,21047,67.5,46,61,None,Uncreditworthy
3500,36 Months,10,OWN,18000,Medical,VA,7.8,Two,34910.15833,665,2,13,10,One,3683,31.2,19,340,One,Uncreditworthy
5000,60 Months,5,MORTGAGE,62400,Home Improvement,CA,11.23,None,38420.14028,745,1,0,6,None,1941,28.9,6,550,None,Creditworthy
8400,60 Months,10,MORTGAGE,67290,Credit Card,CA,5.96,None,31280.20903,730,0,0,4,None,17345,95.7,17,323,None,Creditworthy
3000,36 Months,0,RENT,36132,Debt Consolidation,CA,15.28,None,32360.22014,685,1,0,4,One,1629,67.9,8,1000,One,Uncreditworthy
5000,60 Months,8,MORTGAGE,104860,Car,TX,0.81,None,34340.18681,800,5,0,6,None,1067,3.3,20,1000,None,Creditworthy
11200,60 Months,3,RENT,60000,Wedding,PA,9.04,None,37160.29444,730,1,0,17,None,1472,11.3,31,342,None,Creditworthy
8000,36 Months,9,RENT,42000,Debt Consolidation,CA,9.54,None,35720.32083,685,0,26,7,None,7075,45.6,38,402,None,Uncreditworthy
1000,36 Months,0,RENT,10200,Debt Consolidation,CA,1.76,None,38931.25208,685,0,0,2,None,216,21.6,4,0,None,Uncreditworthy
24000,36 Months,10,MORTGAGE,81000,Debt Consolidation,MO,0.81,One,30000,750,2,23,12,None,14909,32.9,30,534,None,Creditworthy
15000,36 Months,4,RENT,35000,Major Purchase,NJ,0.58,None,36141.26181,705,0,25,5,None,17,0.4,20,0,None,Creditworthy
12000,36 Months,7,RENT,55000,Debt Consolidation,MN,3.45,None,36471.27778,755,1,0,3,None,3994,48.7,12,636,None,Creditworthy
1800,36 Months,5,MORTGAGE,79864,Credit Card,VA,9.62,None,36561.28542,705,0,0,14,None,21440,43.6,23,0,None,Creditworthy
6400,60 Months,2,RENT,43080,Debt Consolidation,CA,18.33,None,35061.30278,665,1,34,8,None,5917,26.9,37,235,None,Creditworthy
4000,36 Months,8,RENT,67450,Wedding,VA,17.26,None,35061.33472,765,1,0,8,None,5690,23.7,23,973,None,Creditworthy
2000,36 Months,8,RENT,44304,Major Purchase,MD,7.94,Two,37071.06944,670,1,19,5,None,6373,45.8,20,0,None,Creditworthy
3000,60 Months,2,MORTGAGE,41159,Other,AR,2.22,None,38838.43958,690,0,0,7,None,3064,36,9,635,None,Creditworthy
8650,60 Months,2,RENT,46500,Other,NY,0.44,None,39134.40625,720,0,0,6,None,367,36.7,6,216,None,Creditworthy
8000,60 Months,0.5,RENT,30000,Debt Consolidation,TX,5.24,None,37191.49514,735,0,0,5,None,7813,37,26,299,None,Creditworthy
12250,60 Months,4,MORTGAGE,33600,Debt Consolidation,NY,22.89,None,33441.49722,680,3,0,9,None,17361,54.1,21,1000,None,Uncreditworthy
2000,36 Months,2,RENT,10000,Debt Consolidation,CA,17.04,None,38211.04931,705,1,34,15,None,1365,6.2,21,0,None,Uncreditworthy
16000,60 Months,8,MORTGAGE,50400,Car,NY,16.74,None,36711.08611,760,1,0,6,None,468,5,12,0,None,Creditworthy
10000,60 Months,10,RENT,41926,Other,GA,14.37,None,34821.13819,780,0,0,3,None,2269,20.6,16,513,None,Creditworthy
7000,60 Months,6,MORTGAGE,26845,Debt Consolidation,FL,8.45,None,31701.19931,785,0,0,4,None,3881,38.4,19,448,None,Creditworthy
9000,36 Months,5,RENT,37000,Other,PA,14.85,None,37971.19653,755,1,0,9,None,1251,7.4,13,214,None,Creditworthy
7200,36 Months,2,RENT,34099.2,Debt Consolidation,CO,23.86,None,36471.21806,690,0,0,11,None,5914,47.7,17,365,None,Creditworthy
13000,60 Months,10,MORTGAGE,43200,Credit Card,TX,20.67,Two,36381.26042,660,1,4,14,None,9107,52.6,31,0,None,Creditworthy
25000,60 Months,6,RENT,60000,Debt Consolidation,NY,23.72,None,35183.04444,720,0,0,14,None,19780,50.5,23,85,None,Uncreditworthy
8825,36 Months,10,MORTGAGE,80000,Home Improvement,WI,10.56,One,36021.35486,665,0,17,9,None,5856,27.2,42,882,None,Creditworthy
15000,60 Months,9,MORTGAGE,80000,Home Improvement,PA,5.16,None,35331.45972,785,0,0,11,None,1530,1.3,24,559,None,Creditworthy
11500,36 Months,3,MORTGAGE,46300,Debt Consolidation,CA,19.02,None,37701.42222,685,0,0,13,None,25578,77.8,14,0,None,Creditworthy
12000,60 Months,3,MORTGAGE,60000,Major Purchase,WI,15.98,One,36412.15347,665,0,21,9,None,5163,49.2,12,1000,None,Uncreditworthy
5000,36 Months,4,RENT,40000,Other,NY,16.68,None,37012.28264,680,0,0,11,None,9563,60.8,37,0,None,Uncreditworthy
9600,36 Months,4,RENT,85000,Major Purchase,NJ,6.28,None,37642.36806,760,0,0,5,None,2555,18.9,14,506,None,Creditworthy
5525,36 Months,0.5,RENT,90000,Credit Card,NY,9.12,None,35782.38681,690,3,0,9,None,14416,78.3,36,1000,None,Creditworthy
10000,36 Months,3,RENT,42900,Debt Consolidation,NJ,12.25,None,38853.37292,670,0,0,6,None,7859,83.6,6,629,None,Creditworthy
4500,36 Months,5,RENT,84998.64,Credit Card,CA,4.46,None,35422.41528,690,1,43,7,None,4789,31.7,16,0,None,Creditworthy
12000,36 Months,10,MORTGAGE,88000,Debt Consolidation,MI,6.37,None,34762.43611,745,2,74,12,None,7136,30,37,972,None,Creditworthy
24000,60 Months,10,MORTGAGE,60000,Home Improvement,FL,10.44,None,34492.49028,770,0,0,18,None,50000,21.7,37,133,None,Creditworthy
14400,60 Months,2,RENT,32400,Credit Card,CA,14.78,None,35962.04861,695,1,0,7,One,15260,97.1,39,261,One,Uncreditworthy
10000,36 Months,0,RENT,100000,Other,NY,18.06,One,32662.05764,675,1,16,26,None,41579,74.4,51,0,None,Uncreditworthy
25000,60 Months,4,MORTGAGE,53000,Debt Consolidation,FL,20.63,None,31162.05694,740,1,0,8,None,24720,64.4,24,1000,None,Uncreditworthy
8000,36 Months,5,RENT,50004,Debt Consolidation,CA,11.33,None,30773.43889,685,0,70,10,None,5619,69.6,25,505,None,Creditworthy
25000,36 Months,3,RENT,63235,Debt Consolidation,CA,14.25,None,36202.12708,745,1,0,8,None,16381,47.5,24,0,None,Creditworthy
7750,36 Months,8,MORTGAGE,104000,Debt Consolidation,CA,21.35,One,30156.06944,670,1,19,21,None,15065,67.3,42,193,None,Uncreditworthy
6400,36 Months,4,OWN,58000,Vacation,CA,8.11,Two,36472.14236,690,1,8,4,None,1455,62.3,19,46,None,Creditworthy
1500,36 Months,2,MORTGAGE,38208,Other,MD,9.48,None,38992.26528,665,1,0,4,None,445,89,4,0,None,Creditworthy
12000,36 Months,10,MORTGAGE,119496,Credit Card,FL,12.76,None,35932.34028,745,0,0,11,None,50000,43.2,20,669,None,Creditworthy
5000,36 Months,3,MORTGAGE,36000,Debt Consolidation,TX,0.08,None,39179.47778,730,2,0,9,None,719,4.6,11,423,None,Creditworthy
13000,36 Months,3,MORTGAGE,51000,Debt Consolidation,CA,23.06,None,37733.35347,690,0,0,21,None,26925,56.7,37,0,None,Creditworthy
15000,36 Months,10,MORTGAGE,125000,Debt Consolidation,CA,17.49,None,30000,680,0,0,16,None,36156,72.5,32,0,None,Creditworthy
10000,36 Months,5,RENT,80004,Debt Consolidation,CO,5.77,None,35483.36042,745,2,0,8,None,6644,35.3,27,396,None,Creditworthy
5000,36 Months,0,RENT,27919.2,Other,CA,23.77,None,32063.42986,690,0,72,9,None,5739,72.8,16,0,None,Creditworthy
6400,36 Months,2,RENT,31836,Debt Consolidation,TX,24.05,None,39053.47431,675,0,0,8,None,3912,65.2,9,399,None,Creditworthy
10000,36 Months,4,RENT,30000,Credit Card,CA,21.48,None,39203.51667,685,0,0,10,None,7682,58.6,10,570,None,Uncreditworthy
6000,36 Months,8,RENT,82000,Debt Consolidation,CA,18.72,None,33473.05625,730,0,0,17,None,18693,41.8,34,275,None,Creditworthy
25000,60 Months,10,RENT,56000,Debt Consolidation,CA,15.43,None,34853.07986,705,0,0,6,None,4971,43.5,19,217,None,Creditworthy
1800,36 Months,6,OWN,45600,Major Purchase,FL,3.95,None,36683.11736,670,2,37,11,None,4238,39.7,21,0,None,Creditworthy
16000,60 Months,10,MORTGAGE,118527,Debt Consolidation,CO,4.38,One,33263.07639,670,2,13,6,None,1944,28.2,35,663,None,Uncreditworthy
12325,36 Months,6,RENT,75000,Debt Consolidation,CA,15.71,None,36623.1375,695,1,0,6,None,19254,82.9,17,243,None,Creditworthy
5000,60 Months,3,MORTGAGE,63945,Car,CA,13.64,None,35513.12986,730,1,0,21,None,32100,59.8,37,0,None,Creditworthy
25000,60 Months,9,RENT,73000,Credit Card,CA,18.36,None,38123.23542,685,0,0,6,None,28434,71,8,305,None,Uncreditworthy
16000,60 Months,10,MORTGAGE,65000,Debt Consolidation,NY,9.3,None,32603.26042,785,2,0,7,None,7083,22.3,14,182,None,Uncreditworthy
8100,60 Months,0.5,RENT,30000,Debt Consolidation,DE,14.12,None,37523.31597,730,2,0,7,None,7905,33.6,11,235,None,Creditworthy
11175,36 Months,10,RENT,40000,Debt Consolidation,CA,20.79,None,37403.33056,665,0,67,8,None,6627,75.1,12,0,None,Creditworthy
10000,36 Months,4,RENT,25000,Credit Card,WI,10.27,None,36684.22153,700,0,45,6,None,1165,29.9,10,206,None,Creditworthy
24000,60 Months,10,MORTGAGE,63000,Debt Consolidation,IL,20.99,None,31044.30278,745,0,0,19,None,37016,59.3,36,149,None,Creditworthy
3000,60 Months,10,MORTGAGE,122748,Other,MD,19.29,None,31555.39097,695,3,0,11,None,50000,87,49,0,None,Uncreditworthy
20000,36 Months,10,MORTGAGE,109500,Debt Consolidation,MO,15.88,None,34404.46042,660,2,0,17,None,28155,75.3,67,178,None,Creditworthy
2500,36 Months,10,RENT,18984,Vacation,NJ,0,Two,36534.50139,680,1,8,2,None,0,0,7,71,None,Uncreditworthy
15000,60 Months,2,RENT,45000,Debt Consolidation,NY,20.4,None,37948.30764,685,0,0,13,None,13093,73.1,15,559,None,Creditworthy
20000,36 Months,10,RENT,68000,Debt Consolidation,CA,8.44,None,34641.18542,755,0,0,5,None,27953,31.7,11,0,None,Creditworthy
16000,60 Months,10,MORTGAGE,55200,Debt Consolidation,WA,11.67,None,35214.125,725,0,0,3,None,14451,97.6,30,0,None,Creditworthy
15000,36 Months,6,MORTGAGE,135000,Debt Consolidation,CA,7.42,None,35964.14722,670,0,24,8,None,48276,57.1,16,503,None,Creditworthy
12000,36 Months,5,MORTGAGE,93000,Home Improvement,SC,9.97,None,32694.20486,735,1,26,7,None,4883,14,23,922,None,Creditworthy
3500,60 Months,1,RENT,53000,Debt Consolidation,NJ,3.69,One,33594.19583,730,1,5,12,None,3004,9.2,29,236,None,Creditworthy
5000,36 Months,1,RENT,35000,Debt Consolidation,MA,20.06,None,35064.22222,760,0,0,5,None,4243,16.4,11,0,None,Creditworthy
3000,36 Months,2,RENT,20000,Credit Card,VA,3.72,One,36324.28681,675,3,13,7,None,2602,13.2,13,1000,None,Creditworthy
12000,36 Months,7,MORTGAGE,26000,Debt Consolidation,NY,13.75,None,38454.29375,715,0,0,5,None,10161,93.2,20,0,None,Uncreditworthy
18000,60 Months,10,MORTGAGE,120000,Debt Consolidation,VA,12,None,34412.28542,700,1,0,23,None,40480,63.9,43,0,None,Creditworthy
6000,36 Months,10,MORTGAGE,69000,Home Improvement,TX,22.43,None,33955.41875,795,2,0,18,None,3719,4.5,24,111,None,Creditworthy
18500,36 Months,10,MORTGAGE,59400,Debt Consolidation,CA,15.62,None,35542.06111,705,1,0,11,None,6327,65.6,34,661,None,Creditworthy
15000,60 Months,10,OWN,200000,Home Improvement,MD,2.71,None,37105.43681,680,0,0,9,One,10550,61,27,0,One,Uncreditworthy
16800,60 Months,3,MORTGAGE,65000,Debt Consolidation,MN,13.42,None,34975.53125,730,3,0,10,None,7258,42,44,146,None,Uncreditworthy
13750,60 Months,8,MORTGAGE,33600,Debt Consolidation,MO,21.36,None,36055.53472,705,1,61,18,None,20179,69.3,39,0,None,Creditworthy
25000,36 Months,10,MORTGAGE,120000,Debt Consolidation,TX,8.6,None,30000,725,2,68,11,None,13385,50.7,21,769,None,Uncreditworthy
6000,60 Months,10,MORTGAGE,60000,Debt Consolidation,WY,22.96,None,35185.52569,675,0,0,9,None,35895,88.6,32,0,None,Creditworthy
15000,60 Months,7,OWN,32004,Debt Consolidation,MI,11.96,None,36835.11944,665,0,75,7,None,9805,77.2,14,357,None,Uncreditworthy
5000,36 Months,10,MORTGAGE,83004,Other,AZ,8.18,None,31435.14653,775,3,0,12,None,10759,15.7,37,661,None,Creditworthy
13750,36 Months,3,MORTGAGE,42000,Debt Consolidation,NY,24.54,None,36235.13542,705,0,55,10,None,25547,76.5,47,1000,None,Creditworthy
2000,36 Months,0.5,RENT,21000,Other,NJ,7.83,None,36986.19514,660,3,25,12,None,2367,38.2,19,130,None,Creditworthy
6000,60 Months,3,OWN,36000,Debt Consolidation,OH,19.87,None,36445.22639,695,2,0,12,One,5814,35.9,37,94,One,Creditworthy
10850,36 Months,5,RENT,38400,Debt Consolidation,NY,22.91,None,36655.23125,725,0,0,5,None,2204,91.8,27,0,None,Creditworthy
10000,36 Months,2,RENT,90000,Home Improvement,CA,0.53,None,38416.12708,730,0,40,7,None,1285,8.8,10,0,None,Creditworthy
24250,36 Months,10,MORTGAGE,128004,Debt Consolidation,FL,12.91,None,33416.16944,705,0,0,17,None,50000,86.7,23,384,None,Uncreditworthy
15000,36 Months,2,MORTGAGE,99996,Debt Consolidation,OH,8.93,None,34825.30069,670,1,0,8,None,10584,48.6,13,0,None,Uncreditworthy
10000,36 Months,3,RENT,50500,Credit Card,CA,17.42,None,38755.27014,685,2,0,8,None,9052,55.5,11,281,None,Creditworthy
12000,36 Months,5,MORTGAGE,64800,Credit Card,FL,19.44,None,36506.20417,665,0,0,8,None,40123,87.4,20,1000,None,Creditworthy
25000,36 Months,10,MORTGAGE,119000,Debt Consolidation,OH,7.04,None,31856.24167,720,0,40,5,None,12204,65.3,20,95,None,Creditworthy
25000,36 Months,4,RENT,143000,Debt Consolidation,MI,9.63,None,34016.28056,680,1,0,7,None,37299,84.8,18,1000,None,Creditworthy
5200,60 Months,10,MORTGAGE,57000,Other,SC,8.46,None,34946.37639,780,0,0,7,None,714,5,14,0,None,Creditworthy
25000,36 Months,3,OWN,75000,Debt Consolidation,SC,18.83,None,34365.28472,715,2,0,23,None,44646,35.2,75,1000,None,Creditworthy
4750,36 Months,0.5,OWN,18000,Car,GA,21.6,None,37376.46528,715,0,0,10,None,4485,32.4,16,0,None,Uncreditworthy
6200,60 Months,3,MORTGAGE,35000,Major Purchase,FL,9.33,None,36176.44167,770,0,0,8,None,9506,23,22,1000,None,Creditworthy
10500,36 Months,7,RENT,200000,Moving,NJ,6.86,None,35096.45833,660,1,51,11,None,15058,56.8,32,1000,None,Creditworthy
25000,36 Months,3,MORTGAGE,107000,Credit Card,UT,17.43,None,34136.50208,725,1,0,13,None,46658,67.1,49,1000,None,Creditworthy
10000,36 Months,7,RENT,56000,Debt Consolidation,CA,17.46,None,34406.47569,705,0,0,8,One,4026,58.3,16,0,One,Creditworthy
14000,36 Months,10,MORTGAGE,106839,Credit Card,MD,3.21,One,35186.52431,735,0,13,7,None,14618,55.2,32,0,None,Creditworthy
7000,60 Months,2,RENT,18000,Debt Consolidation,TX,7.27,None,38570.31319,680,2,0,8,None,4501,30.2,9,0,None,Creditworthy
7200,60 Months,2,RENT,71500,Debt Consolidation,NJ,20.34,None,36536.18125,710,2,0,9,None,4807,80.1,28,722,None,Creditworthy
20000,36 Months,10,MORTGAGE,76000,Debt Consolidation,CO,12.52,None,30000,770,0,29,13,None,13685,20.1,28,457,None,Creditworthy
7200,60 Months,3,RENT,68004,Debt Consolidation,WI,14.84,None,37346.20069,680,1,0,8,None,7775,77.7,17,0,None,Uncreditworthy
3000,36 Months,10,MORTGAGE,69996,Major Purchase,NY,13.32,None,33898.28958,785,1,0,12,None,1762,8.6,34,0,None,Creditworthy
12000,36 Months,10,MORTGAGE,60000,Debt Consolidation,FL,3.3,None,34466.23472,710,0,48,14,None,7018,26.7,26,1000,None,Creditworthy
10000,36 Months,7,RENT,88000,Other,MA,11.4,None,35876.2,755,1,0,6,None,2628,14.4,8,538,None,Creditworthy
1000,36 Months,6,RENT,28000,Major Purchase,MO,24.21,None,37586.2125,705,3,0,7,None,3749,89.3,21,0,None,Uncreditworthy
2400,36 Months,1,RENT,40000,Other,TX,2.01,None,38786.26597,700,0,0,4,None,972,23.7,7,215,None,Creditworthy
14400,36 Months,3,MORTGAGE,67000,Debt Consolidation,FL,23.21,None,37196.28681,730,0,0,11,None,24028,61.8,24,0,None,Creditworthy
5500,36 Months,5,MORTGAGE,85000,Debt Consolidation,LA,12.69,None,32636.34722,780,0,0,9,None,3552,11.5,16,61,None,Creditworthy
16000,60 Months,10,OWN,55000,Debt Consolidation,CA,22.56,None,30986.30972,675,3,0,18,None,21655,77.8,49,0,None,Uncreditworthy
8500,60 Months,7,MORTGAGE,48000,Debt Consolidation,MD,10.59,None,36060.11667,705,1,66,22,None,15801,21.4,62,252,None,Uncreditworthy
8400,36 Months,2,MORTGAGE,63000,Debt Consolidation,VA,18.15,None,38309.33819,690,2,0,11,None,13248,35.9,19,0,None,Creditworthy
12000,36 Months,3,MORTGAGE,116000,Other,IL,0.78,None,37913.17708,780,1,0,13,None,989,2.3,30,1000,None,Creditworthy
1000,36 Months,0.5,RENT,24000,Major Purchase,NY,15.35,None,38967.37708,715,0,0,5,None,4418,40.9,11,214,None,Uncreditworthy
10000,36 Months,7,RENT,50004,Debt Consolidation,CA,18.53,None,36417.45139,665,2,44,6,None,6353,64.3,16,1000,None,Uncreditworthy
5000,36 Months,3,RENT,55000,Debt Consolidation,CA,6.13,None,33567.34236,680,2,0,4,None,9289,33.8,11,0,None,Creditworthy
25000,60 Months,0.5,MORTGAGE,85000,Debt Consolidation,MI,22.21,None,32787.38472,730,0,0,10,None,23529,48.8,31,917,None,Creditworthy
6500,36 Months,4,RENT,30000,Credit Card,PA,13.28,None,36387.41944,670,1,0,7,None,5903,76.7,12,0,None,Creditworthy
19000,60 Months,9,RENT,36300,Debt Consolidation,FL,17.12,None,36867.40139,710,1,0,11,None,19165,51.2,20,903,None,Creditworthy
12000,36 Months,1,RENT,42000,Debt Consolidation,OR,23.83,None,32187.44306,720,0,0,12,None,22417,52.7,24,1000,None,Creditworthy
10500,60 Months,10,MORTGAGE,43000,Debt Consolidation,OH,8.73,None,32817.47292,795,0,0,12,None,2811,5.6,30,110,None,Creditworthy
9000,60 Months,2,RENT,36000,Debt Consolidation,TX,18.13,One,36777.04653,670,1,23,12,None,8372,34.9,26,559,None,Creditworthy
6600,60 Months,0.5,RENT,36000,Credit Card,CA,12.63,None,36897.05417,700,0,45,15,None,12732,62.4,27,973,None,Uncreditworthy
5000,36 Months,1,RENT,23000,Moving,MO,14.14,None,37617.21389,690,2,0,7,None,4386,93.5,9,152,None,Creditworthy
2400,36 Months,4,MORTGAGE,69684,Vacation,CA,5.31,None,38277.27431,755,0,0,3,None,1899,38,9,1000,None,Creditworthy
4000,36 Months,2,RENT,24000,Debt Consolidation,CA,2,One,38517.30417,665,2,18,3,None,924,77,7,166,None,Creditworthy
25000,60 Months,7,RENT,100000,Credit Card,IL,23.81,None,34917.31736,730,0,0,12,None,49975,48.5,30,1000,None,Creditworthy
8500,60 Months,7,RENT,23000,Debt Consolidation,PA,12.73,None,38840.27361,665,3,0,3,None,7905,96.4,9,0,None,Uncreditworthy
12000,36 Months,5,MORTGAGE,95000,Debt Consolidation,CA,4.38,None,34948.36875,690,2,0,9,None,7527,46.4,16,612,None,Creditworthy
8000,36 Months,2,MORTGAGE,64000,Wedding,MO,11.38,None,34378.34236,785,0,0,10,None,1664,5.5,24,304,None,Creditworthy
3700,60 Months,2,RENT,50001.56,Other,TX,21.73,None,34585.45278,660,2,24,8,None,17546,79.8,29,184,None,Uncreditworthy
12000,60 Months,4,MORTGAGE,70000,Debt Consolidation,TX,21.33,None,35728.44444,720,3,0,12,None,6696,33,25,604,None,Creditworthy
9000,60 Months,0,OWN,31200,Car,CA,1.15,None,34408.48472,770,0,52,9,None,845,2,26,1000,None,Creditworthy
18000,60 Months,7,RENT,60000,Debt Consolidation,NJ,7.18,None,37498.05,725,2,0,4,None,2030,58,5,274,None,Creditworthy
2100,36 Months,3,RENT,9600,Other,PA,18.5,None,37558.49375,695,0,30,9,None,1900,35.2,13,622,None,Creditworthy
25000,36 Months,7,MORTGAGE,182004,Home Improvement,PA,14.03,None,34888.06528,680,0,63,11,None,2036,7.5,33,0,None,Creditworthy
16000,60 Months,6,MORTGAGE,48000,Wedding,OR,17.25,None,36868.09167,690,3,0,10,None,29810,49.8,17,0,None,Uncreditworthy
13000,36 Months,10,RENT,52809.12,Debt Consolidation,MN,7.45,None,32248.14444,725,1,0,8,None,9895,81.4,25,912,None,Creditworthy
15000,36 Months,10,MORTGAGE,69000,Debt Consolidation,NY,10.57,None,35038.12986,720,0,0,11,None,32036,55.8,35,903,None,Creditworthy
15000,60 Months,10,MORTGAGE,54000,Debt Consolidation,CO,19.69,None,36058.24375,665,3,43,11,None,15570,77.1,20,191,None,Creditworthy
8000,36 Months,10,RENT,36996,Debt Consolidation,OH,20.86,None,36418.32361,750,0,0,7,None,6738,63,24,1000,None,Uncreditworthy
1200,36 Months,0.5,RENT,35004,Other,MA,4.53,None,38669.24375,665,1,0,3,None,3814,55.3,3,312,None,Creditworthy
20000,60 Months,10,MORTGAGE,90000,Major Purchase,TX,0.52,None,30568.34792,795,5,0,14,None,876,0.7,51,199,None,Uncreditworthy
24250,60 Months,9,MORTGAGE,65004,Debt Consolidation,MI,22.13,None,35613.17639,710,1,0,18,None,21394,46.9,30,0,None,Uncreditworthy
24000,60 Months,3,RENT,73600,Other,NY,10.26,None,30569.22431,725,0,0,9,None,15176,85.7,20,507,None,Creditworthy
12000,36 Months,9,MORTGAGE,70000,Home Improvement,MA,14.57,None,35552.24167,705,0,52,7,None,2701,12.6,27,1000,None,Creditworthy
20000,60 Months,10,MORTGAGE,70000,Debt Consolidation,FL,15.54,None,33900.10486,705,3,0,15,None,20955,64.1,36,411,None,Uncreditworthy
8500,36 Months,0.5,OWN,38000,Credit Card,MN,21.76,None,36089.39514,695,0,0,6,None,28677,91.6,17,191,None,Creditworthy
5000,36 Months,7,RENT,26400,Vacation,CA,11.86,One,37409.425,690,1,18,4,None,75,25,9,0,None,Uncreditworthy
6500,36 Months,4,MORTGAGE,95000,Major Purchase,NY,12.66,None,30000,760,1,0,11,None,5074,20.8,39,1000,None,Creditworthy
6500,60 Months,10,MORTGAGE,90000,Debt Consolidation,WV,10.01,None,35639.475,710,1,59,6,None,14904,89.2,33,0,None,Creditworthy
9000,60 Months,10,MORTGAGE,57600,House,FL,12.17,None,32217.26042,730,2,0,10,None,42972,56.9,34,0,None,Uncreditworthy
24000,60 Months,10,MORTGAGE,108000,Debt Consolidation,VA,11.08,None,34859.04931,735,0,0,5,None,1909,22.5,23,129,None,Creditworthy
25000,60 Months,9,RENT,49200,Debt Consolidation,SC,23.12,None,37109.08681,780,0,0,8,None,1321,8.3,24,199,None,Uncreditworthy
12000,36 Months,9,MORTGAGE,125004,Home Improvement,AZ,8.2,None,35519.12431,800,0,0,11,None,19418,9.6,39,0,None,Creditworthy
15000,60 Months,10,MORTGAGE,51094,Debt Consolidation,MI,13.15,None,33329.12222,735,1,0,7,None,20848,52.1,25,711,None,Creditworthy
10000,36 Months,1,MORTGAGE,61476,Credit Card,WA,21.32,None,32779.33681,725,1,50,30,None,8791,18.1,80,0,None,Creditworthy
16000,60 Months,10,MORTGAGE,48996,Other,VA,14.84,None,34234.28889,740,1,24,9,None,2896,14.1,28,107,None,Uncreditworthy
2300,36 Months,0.5,MORTGAGE,72800,Credit Card,KY,24.66,None,34500.29097,710,3,0,5,None,5903,85.6,28,78,None,Creditworthy
8200,36 Months,2,RENT,42996,Debt Consolidation,TX,16.55,None,37956.35417,725,1,0,11,None,5342,36.4,20,462,None,Creditworthy
17500,36 Months,7,RENT,49176,Debt Consolidation,NY,23.26,None,37410.43125,690,0,33,7,None,14443,79.8,18,0,None,Creditworthy
3000,36 Months,1,MORTGAGE,74000,Debt Consolidation,MO,5.08,None,36360.46389,770,2,0,5,None,2289,39.5,25,696,None,Creditworthy
5500,60 Months,5,MORTGAGE,24000,Credit Card,CA,22.75,None,30360.43194,705,0,33,14,None,15466,35.9,31,80,None,Uncreditworthy
17500,36 Months,10,MORTGAGE,73200,Credit Card,CA,3.31,None,35850.07917,710,0,0,4,One,9578,37,12,0,One,Creditworthy
4800,60 Months,2,RENT,16000,Wedding,MA,10.01,None,38460.13472,695,0,0,3,None,1885,94.2,5,357,None,Uncreditworthy
8000,36 Months,2,RENT,68500,House,CA,20.93,None,37200.10069,740,2,0,13,None,1603,14.7,30,269,None,Creditworthy
3200,60 Months,1,RENT,18000,Debt Consolidation,TX,18.4,None,38940.48264,665,2,0,3,None,2742,74.1,5,51,None,Uncreditworthy
20000,60 Months,3,RENT,65000,Debt Consolidation,CA,10.93,None,35730.44444,725,0,0,7,None,14826,73.1,14,0,None,Creditworthy
16000,60 Months,10,MORTGAGE,120000,Credit Card,MD,14.59,None,31891.32708,685,0,65,18,One,40352,87,51,625,One,Uncreditworthy
2500,36 Months,10,MORTGAGE,70000,Debt Consolidation,CA,15.05,None,30631.33403,685,0,0,12,One,16376,77.6,40,297,One,Creditworthy
18000,36 Months,7,RENT,200000,Debt Consolidation,MO,2.42,None,37561.49097,750,0,0,8,None,14660,24.5,13,246,None,Creditworthy
18250,60 Months,7,MORTGAGE,70160,Credit Card,VA,21.65,None,36391.53889,680,1,0,15,None,48028,57.7,27,1000,None,Uncreditworthy
1000,60 Months,7,RENT,6000,Educationalal,MO,19.2,None,31051.05972,665,0,0,7,None,3405,35.5,17,0,None,Uncreditworthy
7000,36 Months,4,RENT,28000,Credit Card,MO,23.19,None,38101.15347,705,0,0,6,None,10215,64.2,7,355,None,Creditworthy
1750,36 Months,3,MORTGAGE,38400,Major Purchase,NJ,16.34,None,35191.36458,685,0,25,4,None,434,43.4,15,0,None,Uncreditworthy
